city,location_id,location_name,country,latitude,longitude,sensor_id,parameter,unit,date,value
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,48.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,45.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,62.6
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,73.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,81.9
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,76.7
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,82.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,97.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,99.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,113.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,110.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,98.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,61.5
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,63.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,79.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,84.5
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,58.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,66.8
